Checking pointer array...
 point                      1 value                      1
 point                      2 value                     89
 point                      3 value                    180
 point                      4 value                    331
 point                      5 value                    418
 point                      6 value                    514
 point                      7 value                    637
 point                      8 value                    721
 point                      9 value                    806
 point                     10 value                    948
 point                     11 value                   1110
 point                     12 value                   1188
 point                     13 value                   1285
 point                     14 value                   1383
 point                     15 value                   1467
 point                     16 value                   1568
 point                     17 value                   1643
 point                     18 value                   1791
 point                     19 value                   1903
 point                     20 value                   1988
 point                     21 value                   2076
 point                     22 value                   2187
 point                     23 value                   2299
 point                     24 value                   2365
 point                     25 value                   2435
 point                     26 value                   2526
 point                     27 value                   2679
 point                     28 value                   2786
 point                     29 value                   2876
 point                     30 value                   2976
 point                     31 value                   3051
 point                     32 value                   3208
 point                     33 value                   3274
 point                     34 value                   3412
 point                     35 value                   3499
 point                     36 value                   3578
 point                     37 value                   3699
 point                     38 value                   3763
 point                     39 value                   3888
 point                     40 value                   3966
 point                     41 value                   4038
 point                     42 value                   4138
 point                     43 value                   4206
 point                     44 value                   4306
 point                     45 value                   4410
 point                     46 value                   4510
 point                     47 value                   4597
 point                     48 value                   4651
 point                     49 value                   4735
 point                     50 value                   4830
 point                     51 value                   4892
 point                     52 value                   5058
 point                     53 value                   5161
 point                     54 value                   5326
 point                     55 value                   5391
 point                     56 value                   5457
 point                     57 value                   5562
 point                     58 value                   5639
 point                     59 value                   5774
 point                     60 value                   5851
 point                     61 value                   5995
 point                     62 value                   6066
 point                     63 value                   6192
 point                     64 value                   6282
 point                     65 value                   6354
 point                     66 value                   6476
 point                     67 value                   6524
 point                     68 value                   6671
 point                     69 value                   6751
 point                     70 value                   6819
 point                     71 value                   6920
 point                     72 value                   6984
 point                     73 value                   7064
 point                     74 value                   7168
 point                     75 value                   7227
 point                     76 value                   7318
 point                     77 value                   7379
 point                     78 value                   7458
 point                     79 value                   7567
 point                     80 value                   7680
 point                     81 value                   7764
 point                     82 value                   7854
 point                     83 value                   7918
 point                     84 value                   8007
 point                     85 value                   8082
 point                     86 value                   8133
 point                     87 value                   8205
 point                     88 value                   8298
 point                     89 value                   8361
 point                     90 value                   8461
 point                     91 value                   8523
 point                     92 value                   8580
 point                     93 value                   8708
 point                     94 value                   8774
 point                     95 value                   8851
 point                     96 value                   8914
 point                     97 value                   8982
 point                     98 value                   9044
 point                     99 value                   9117
 point                    100 value                   9181
 point                    101 value                   9258
 point                    102 value                   9307
 point                    103 value                   9391
 point                    104 value                   9456
 point                    105 value                   9507
 point                    106 value                   9631
 point                    107 value                   9728
 point                    108 value                   9852
 point                    109 value                   9926
 point                    110 value                  10042
 point                    111 value                  10113
 point                    112 value                  10241
 point                    113 value                  10296
 point                    114 value                  10364
 point                    115 value                  10443
 point                    116 value                  10519
 point                    117 value                  10601
 point                    118 value                  10688
 point                    119 value                  10799
 point                    120 value                  10886
 point                    121 value                  10982
 point                    122 value                  11042
 point                    123 value                  11142
 point                    124 value                  11191
 point                    125 value                  11301
 point                    126 value                  11356
 point                    127 value                  11414
 point                    128 value                  11469
 point                    129 value                  11517
 point                    130 value                  11609
 point                    131 value                  11694
 point                    132 value                  11750
 point                    133 value                  11821
 point                    134 value                  11922
 point                    135 value                  11978
 point                    136 value                  12087
 point                    137 value                  12166
 point                    138 value                  12229
 point                    139 value                  12311
 point                    140 value                  12357
 point                    141 value                  12414
 point                    142 value                  12457
 point                    143 value                  12506
 point                    144 value                  12581
 point                    145 value                  12664
 point                    146 value                  12714
 point                    147 value                  12787
 point                    148 value                  12841
 point                    149 value                  12907
 point                    150 value                  12955
 point                    151 value                  12990
 point                    152 value                  13044
 point                    153 value                  13103
 point                    154 value                  13151
 point                    155 value                  13211
 point                    156 value                  13262
 point                    157 value                  13345
 point                    158 value                  13385
 point                    159 value                  13438
 point                    160 value                  13518
 point                    161 value                  13567
 point                    162 value                  13652
 point                    163 value                  13732
 point                    164 value                  13799
 point                    165 value                  13869
 point                    166 value                  13938
 point                    167 value                  13993
 point                    168 value                  14085
 point                    169 value                  14122
 point                    170 value                  14185
 point                    171 value                  14233
 point                    172 value                  14284
 point                    173 value                  14314
 point                    174 value                  14368
 point                    175 value                  14416
 point                    176 value                  14461
 point                    177 value                  14524
 point                    178 value                  14602
 point                    179 value                  14684
 point                    180 value                  14730
 point                    181 value                  14772
 point                    182 value                  14828
 point                    183 value                  14891
 point                    184 value                  14932
 point                    185 value                  14985
 point                    186 value                  15021
 point                    187 value                  15067
 point                    188 value                  15119
 point                    189 value                  15153
 point                    190 value                  15178
 point                    191 value                  15223
 point                    192 value                  15266
 point                    193 value                  15338
 point                    194 value                  15387
 point                    195 value                  15441
 point                    196 value                  15482
